N,seed,mean_price_M,mean_price_E,mean_gas_total,final_storage_frac,mean_profit
10,0,111.33440662184836,238.49239189883636,170.68377714662654,0.9400000000000001,215.64932637850788
10,1,110.75301130776283,238.03681258902452,170.25014720004887,0.9400000000000001,222.1550638078014
10,2,110.47437116328194,239.7655547598863,170.7710412246742,0.8899999999999999,209.57454770959913
10,3,111.01207555358972,239.22084548914987,170.81065330840434,0.95,211.35823185207323
10,4,110.71809911331846,238.06701421261835,170.24579559423145,0.9399999999999998,222.0990302613401
10,5,111.247494668559,239.18841718225195,170.90491507492646,0.97,210.45524238311214
10,6,110.2626944817795,240.7725632313769,171.05162499480878,0.9200000000000002,202.40041791275308
10,7,111.13340362797753,237.8127859735932,170.33830475722866,0.9400000000000001,222.079324286707
10,8,111.02660032130792,236.328499962549,169.73353698095792,0.96,234.40673790494517
10,9,110.74701556852101,238.72145270766296,170.50382445981074,0.9099999999999999,216.68843668800568
20,0,109.15230429076053,216.4346459146634,161.34173999192976,0.875,193.77266025366794
20,1,109.47436919932397,216.5569367730815,161.53422815252708,0.9099999999999998,192.57302156442046
20,2,109.22121531161963,217.89364577951966,161.93107782963625,0.9199999999999999,188.74461880556998
20,3,109.04152482369064,216.4955121199585,161.3147294260928,0.9349999999999999,193.84218067477082
20,4,109.4616827609062,216.01791460481078,161.3224456808441,0.9,194.40262752860014
20,5,109.39754427916685,215.12965323271402,160.95195547234306,0.9200000000000002,197.41681563018565
20,6,109.49580568042082,217.16391436376682,161.77676726819305,0.875,190.53312466824514
20,7,109.32047488934892,215.24481524706528,160.96150794708998,0.9349999999999999,197.24612827236228
20,8,109.91775794124372,216.01680874364735,161.52833606087626,0.875,193.2783493274347
20,9,109.49782211013331,214.44299115216796,160.7343684289463,0.8949999999999999,199.42349045601904
30,0,107.72838549852302,195.14512900606445,152.43269575347992,0.8766666666666666,172.9303765011252
30,1,107.38321805016884,195.66758208931373,152.48030971330093,0.9066666666666666,172.56009748726473
30,2,108.15996800153407,191.41086553515532,151.1574498709084,0.9033333333333332,178.44784652276957
30,3,106.94393594852038,192.20406256625392,150.91582280725666,0.86,179.02932756022994
30,4,108.42286418870975,194.68426633415987,152.56765692332908,0.9299999999999999,172.62787591175976
30,5,107.70835989784754,193.7533749849919,151.87529046270748,0.8933333333333331,175.29063551348656
30,6,107.58723885800225,193.12618081769176,151.57318254995175,0.8833333333333332,176.52871337762568
30,7,108.23773572114389,191.01923082095257,151.03926690203528,0.9233333333333333,178.9917764939012
30,8,107.99111838655257,195.97501535856298,152.8770615232047,0.9233333333333333,171.0559115134469
30,9,108.04991178270174,191.50653207479328,151.14549245722452,0.9633333333333333,178.47509223417575
50,0,103.31652675603429,151.70873339487477,132.8242526061013,0.9460000000000001,138.9083177625924
50,1,104.93168770669635,151.8096316061911,133.6093017210963,0.888,137.45782517528815
50,2,104.81858322439034,153.74880009150573,134.36536564499062,0.9219999999999999,136.7177639972986
50,3,104.12569332439534,151.23859139986936,132.9999604827069,0.924,138.39383310042075
50,4,103.60932832868741,147.33284053570674,131.12130170893533,0.8640000000000001,140.27146819469658
50,5,103.55369038878246,149.6575171658822,132.07409520794855,0.88,139.50026143245205
50,6,104.79356972623518,147.4465385065332,131.717495176583,0.92,139.25612652491668
50,7,104.59778904761068,151.71159936432076,133.4155693720554,0.8980000000000001,137.80135533686973
50,8,103.9409966658349,147.97952048353693,131.5473030946408,0.8759999999999999,139.77538940948435
50,9,103.63120884141941,152.0258863990501,133.1031489720805,0.89,138.53063219394556
100,0,65.9255532836435,83.48902382249798,83.95623994138131,0.6869999999999998,75.34382775370406
100,1,66.53035218960122,84.89919652917467,84.95368238451147,0.7540000000000002,75.71751427545924
100,2,67.21777155080613,86.74797352965223,86.18590978501351,0.68,76.11745578888134
100,3,66.51235786936657,85.88375676661441,85.42650579309586,0.731,76.05495549699825
100,4,65.26724468619051,84.97889852306929,84.28759160201105,0.72,75.66877731724804
100,5,66.55517070872277,84.08273960220329,84.58628639090426,0.6639999999999999,75.52364568312316
100,6,67.71701912324983,85.19994925564566,85.73403351331588,0.7490000000000001,75.75408722060237
100,7,65.66410878234437,84.10346863007358,84.07566483763337,0.5920000000000001,75.38061134225016
100,8,65.94142697002542,84.60054428817837,84.49764568980004,0.5720000000000001,75.6712260480607
100,9,66.56566101593894,84.26384577884573,84.65120563764076,0.6460000000000001,75.4513921454215
