beta,replica,final_storage_frac,mean_price_E,convergence_day
0.5,0,0.7133333333333333,205.6622297539739,200
0.5,1,0.7099999999999999,205.30190105719848,200
0.5,2,0.6533333333333334,204.51659119096308,200
0.5,3,0.75,204.19686307999604,200
0.5,4,0.6199999999999999,206.2693712838587,200
1.0,0,0.8099999999999999,200.47910743347256,200
1.0,1,0.8100000000000002,199.92799935477328,200
1.0,2,0.77,198.93060877833747,200
1.0,3,0.8333333333333333,198.8096832228492,200
1.0,4,0.7333333333333333,201.1725528514999,200
2.0,0,0.9033333333333334,195.08023726264454,144
2.0,1,0.9066666666666666,194.10765071143985,200
2.0,2,0.8833333333333332,193.08409434283533,200
2.0,3,0.92,193.16414344311843,78
2.0,4,0.84,195.90279238776301,97
3.0,0,0.9266666666666665,192.89684414525016,36
3.0,1,0.9466666666666668,191.6784518477769,40
3.0,2,0.94,190.66686352170507,32
3.0,3,0.94,190.84789125888486,34
3.0,4,0.8866666666666666,193.76510603551807,32
5.0,0,0.9533333333333333,191.1796731895856,24
5.0,1,0.9733333333333333,189.82298720870153,28
5.0,2,0.97,188.79662315038172,24
5.0,3,0.9600000000000001,189.00694936553415,25
5.0,4,0.9299999999999999,192.15565078596802,24
10.0,0,0.9633333333333334,190.17522338378822,21
10.0,1,0.9800000000000001,188.63655882742339,22
10.0,2,0.99,187.68689590055587,22
10.0,3,0.9766666666666666,187.93892688496516,22
10.0,4,0.9533333333333334,191.18710848624357,21
