eta,replica,mean_gas_total,mean_gas_M,mean_gas_E,mean_price_E,final_storage_frac
0.7,0,155.4025514032762,58.14548313317612,97.25706827010008,201.98801613417407,0.94
0.7,1,155.21939344863478,57.857105048626984,97.36228840000778,202.25739068501306,0.9299999999999999
0.7,2,155.0943225140407,57.931946139438715,97.16237637460199,201.74461431694763,0.9133333333333334
0.7,3,154.7126461041202,57.80913712964256,96.90350897447765,201.0812270211579,0.93
0.7,4,155.70705291294846,58.30877410322908,97.39827880971937,202.3496712388413,0.9299999999999999
0.75,0,154.43224227617196,58.06016044525245,96.37208183091953,199.7203706614836,0.9366666666666668
0.75,1,154.25780551314935,57.83509762160898,96.42270789154037,199.84924199659093,0.9299999999999999
0.75,2,154.12255180280243,57.93004747253066,96.19250433027177,199.26053810270892,0.9133333333333334
0.75,3,153.73190743226183,57.771370352043874,95.96053708021796,198.66792544462365,0.9233333333333333
0.75,4,154.73474031414332,58.19903484498519,96.53570546915813,200.1383459797177,0.9233333333333333
0.8,0,153.46996394764986,57.943389874044676,95.52657407360519,197.55977298056183,0.93
0.8,1,153.29593882730956,57.796646035801444,95.49929279150813,197.48943657680957,0.9299999999999999
0.8,2,153.15461251236582,57.91729544525873,95.23731706710707,196.82142565170747,0.9133333333333334
0.8,3,152.75411271129815,57.719424044377234,95.03468866692091,196.3053913642839,0.9233333333333333
0.8,4,153.7681210857377,58.049373658611565,95.71874742712615,198.0494320383967,0.9166666666666665
0.85,0,152.51612054482732,57.82387824854151,94.6922422962858,195.43336933174433,0.9266666666666666
0.85,1,152.34594908679253,57.75972166735242,94.58622741944009,195.16280257633574,0.9266666666666665
0.85,2,152.18512649700307,57.8972244481626,94.28790204884048,194.40434875635208,0.91
0.85,3,151.79078708672546,57.646183049704014,94.14460403702145,194.04060407259863,0.9199999999999999
0.85,4,152.81388304416595,57.876986384620196,94.93689665954575,196.0552604790677,0.9033333333333332
0.9,0,151.57379218636083,57.699215385435764,93.87457680092506,193.3548968772523,0.9233333333333333
0.9,1,151.39956464770034,57.706686032539054,93.69287861516128,192.89291062393076,0.9233333333333332
0.9,2,151.22130795991745,57.87060990650425,93.35069805341321,192.02552796428867,0.91
0.9,3,150.83979116180222,57.56564461544751,93.27414654635471,191.83197815377562,0.9199999999999999
0.9,4,151.8760295865882,57.6988804331342,94.17714915345401,194.12223095820795,0.8966666666666666
0.95,0,150.65004845611602,57.57264807485546,93.07740038126056,191.33374128533475,0.9166666666666666
0.95,1,150.4601079898153,57.65433783271761,92.80577015709768,190.64535445010458,0.9199999999999999
0.95,2,150.2606155980734,57.837778435301,92.42283716277241,189.67753228030764,0.91
0.95,3,149.89686004932878,57.472010315904626,92.42484973342417,189.68302489193331,0.9166666666666665
0.95,4,150.96509116627234,57.526546926032864,93.43854424023948,192.24748002923508,0.8933333333333332
1.0,0,149.73333347114362,57.44146736046406,92.29186611067955,189.34726101697922,0.9133333333333333
1.0,1,149.5258590806654,57.59751405821748,91.92834502244794,188.42865835155473,0.9166666666666666
1.0,2,149.30637162379904,57.80037990694118,91.50599171685786,187.36436032960407,0.9066666666666667
1.0,3,148.95811656022636,57.37623869767348,91.58187786255289,187.55593479071675,0.9133333333333333
1.0,4,150.0708940860254,57.34797908104763,92.72291500497776,190.435300404556,0.8833333333333334
