phi,replica,final_storage_frac,convergence_day
0.01,0,0.91,197
0.01,1,0.9166666666666666,200
0.01,2,0.8966666666666667,200
0.01,3,0.9033333333333332,200
0.01,4,0.8866666666666666,200
0.05,0,0.9266666666666666,98
0.05,1,0.9233333333333332,68
0.05,2,0.91,61
0.05,3,0.9199999999999999,73
0.05,4,0.8933333333333332,94
0.1,0,0.9266666666666666,41
0.1,1,0.9233333333333332,68
0.1,2,0.91,47
0.1,3,0.9199999999999999,70
0.1,4,0.8933333333333332,43
0.2,0,0.9266666666666666,41
0.2,1,0.9233333333333332,68
0.2,2,0.91,35
0.2,3,0.9199999999999999,70
0.2,4,0.8966666666666666,43
0.3,0,0.9233333333333333,41
0.3,1,0.9233333333333332,68
0.3,2,0.91,23
0.3,3,0.9233333333333333,71
0.3,4,0.9,44
0.5,0,0.9233333333333333,41
0.5,1,0.9233333333333332,68
0.5,2,0.9066666666666667,22
0.5,3,0.9233333333333333,71
0.5,4,0.9,44
